Timestamp,open,high,low,close,volume,VWMA,ma_pdif,abs_pdif,RSI,MACD,Signal,MA20,20dSTD,UpperBand,LowerBand,Momentum,ROC
20230602142345,0.315581854043387,0.3119999999999976,0.2992125984252141,0.28937007874016274,3358907.0,395.48,0.06,0.13,52.27,0.04,0.02,395.51,0.26,396.03,394.99,0.04,0.0001
20230602142350,0.289940828402365,0.2909999999999968,0.2854330708661479,0.27559055118111075,3520126.0,395.5,0.03,0.07,45.51,0.02,0.02,395.53,0.23,395.99,395.07,-0.24,-0.0006
20230602142355,0.27613412228797074,0.2779999999999916,0.2775590551181182,0.295275590551185,4646212.0,395.53,0.04,0.1,52.76,0.02,0.02,395.57,0.18,395.93,395.21,-0.01,-0.0
20230602142400,0.2958579881656789,0.2779999999999916,0.20866141732284404,0.20669291338583662,4967243.0,395.54,0.42,0.45,44.79,-0.02,0.01,395.55,0.2,395.95,395.15,-0.43,-0.0011
20230602142405,0.19526627218934323,0.20399999999999352,0.2047244094488292,0.19488188976379206,4647329.0,395.52,0.46,0.06,37.78,-0.06,-0.0,395.54,0.22,395.98,395.1,-0.79,-0.002
20230602142410,0.1666666666666714,0.16799999999999216,0.13385826771654763,0.12401574803149629,4968606.0,395.49,0.79,0.36,24.099999999999994,-0.11,-0.03,395.51,0.28,396.07,394.95,-1.09,-0.0028
20230602142415,0.12426035502957689,0.103999999999985,0.10039370078740717,0.10039370078740717,6091373.0,395.45,0.87,0.12,24.230000000000004,-0.16,-0.05,395.47,0.35,396.17,394.77,-1.28,-0.0032
20230602142420,0.10059171597632144,0.10199999999998965,0.08661417322835518,0.10433070866142202,4974623.0,395.4,0.8,0.02,25.39,-0.2,-0.08,395.42,0.4,396.22,394.62,-1.14,-0.0029
20230602142425,0.0808678500986133,0.07200000000000273,0.08858267716536261,0.09251968503937746,5158610.0,395.35,0.81,0.06,11.239999999999997,-0.23,-0.11,395.37,0.45,396.27,394.47,-1.14,-0.0029
20230602142430,0.11637080867849647,0.16199999999999193,0.12204724409448886,0.18110236220472586,5481457.0,395.32,0.33,0.45,30.77,-0.22,-0.13,395.35,0.45,396.25,394.45,-0.68,-0.0017
