Time,Price open,Price high,Price low,Price close,Volume Volume
2023-06-02 14:46:00,398.39,398.48,397.9,398.26,75046000.0
2023-06-02 14:47:00,398.26,398.34,398.08,398.33,69260555.0
2023-06-02 14:48:00,398.33,398.44,397.88,397.92,74757385.0
2023-06-02 14:49:00,397.99,398.06,397.33,397.38,77378932.0
2023-06-02 14:50:00,397.38,397.81,397.06,397.62,73337147.0
2023-06-02 14:51:00,397.63,398.32,397.55,398.04,75249025.0
2023-06-02 14:52:00,398.06,398.3,398.03,398.21,76640833.0
2023-06-02 14:53:00,398.21,398.24,397.9,398.24,68003454.0
2023-06-02 14:54:00,398.24,398.48,398.08,398.16,72499649.0
2023-06-02 14:55:00,398.16,398.6,397.84,398.57,69171179.0
2023-06-02 14:56:00,398.56,398.57,398.13,398.24,68077328.0
2023-06-02 14:57:00,398.22,398.365,397.93,398.0,69348189.0
2023-06-02 14:58:00,398.0,398.36,397.92,398.33,71278313.0
2023-06-02 14:59:00,398.3,398.55,398.02,398.23,68288904.0
2023-06-02 15:00:00,398.23,398.54,398.21,398.43,72749446.0
2023-06-02 15:01:00,398.42,398.62,397.9,398.45,66998504.0
2023-06-02 15:02:00,398.525,398.89,398.44,398.75,80568304.0
2023-06-02 15:03:00,398.75,399.09,398.71,399.03,74337158.0
2023-06-02 15:04:00,399.03,399.18,398.8250000000001,398.84,75406234.0
2023-06-02 15:05:00,398.84,398.96,398.62,398.78,81041742.0
2023-06-02 15:06:00,398.78,398.97,398.41,398.8,77811603.0
2023-06-02 15:07:00,398.8,398.83,398.03,398.07,76923608.0
2023-06-02 15:08:00,398.07,398.65,398.05,398.46,77071933.0
2023-06-02 15:09:00,398.46,398.7,398.32,398.61,66737330.0
2023-06-02 15:10:00,398.56,398.66,398.37,398.52,67797816.0
2023-06-02 15:11:00,398.55,398.64,398.08,398.13,75215697.0
2023-06-02 15:12:00,398.13,398.17,397.59,397.675,75764830.0
2023-06-02 15:13:00,397.69,397.69,396.91,396.93,87427903.0
2023-06-02 15:14:00,396.93,397.08,396.66,396.71,82775393.0
2023-06-02 15:15:00,396.71,397.24,396.71,397.19,79509132.0
2023-06-02 15:16:00,397.19,397.35,397.07,397.08,77630776.0
