Timestamp,open,high,low,close,volume,VWMA,ma_pdif,abs_pdif,return,RSI,MACD,Signal,MA20,20dSTD,UpperBand,LowerBand,Momentum,ROC
2023-06-02 14:52:25,398.14,398.2,398.11,398.16,5207556.0,398.04,0.12,0.02,0.005023358617584073,46.1,0.11,0.11,398.07,0.22,398.51,397.63,-0.08,-0.0002
2023-06-02 14:52:30,398.16,398.28,398.16,398.27,6211049.0,398.08,0.19,0.11,0.027627084589099127,53.45,0.11,0.11,398.1,0.19,398.48,397.72,0.06,0.0002
2023-06-02 14:52:35,398.27,398.285,398.21,398.21,7013336.0,398.11,0.1,0.06,-0.01506515680317344,48.9,0.11,0.11,398.13,0.15,398.43,397.83,0.13,0.0003
2023-06-02 14:52:40,398.19,398.28,398.19,398.24,6813582.0,398.14,0.1,0.03,0.007533713367324779,48.62,0.11,0.11,398.17,0.08,398.33,398.01,0.08,0.0002
2023-06-02 14:52:45,398.24,398.3,398.21,398.29,7015394.0,398.17,0.12,0.05,0.012555243069511945,52.69,0.11,0.11,398.18,0.08,398.34,398.02,0.25,0.0006
2023-06-02 14:52:50,398.29,398.3,398.18,398.24,5412898.0,398.18,0.06,0.05,-0.012553666926107265,51.58,0.11,0.11,398.18,0.08,398.34,398.02,0.2,0.0005
2023-06-02 14:52:55,398.24,398.27,398.19,398.21,6425766.0,398.18,0.03,0.03,-0.007533145841709388,57.65,0.1,0.11,398.18,0.08,398.34,398.02,0.09,0.0002
2023-06-02 14:53:00,398.21,398.22,398.1,398.14,6427860.0,398.18,0.04,0.07,-0.017578664523743015,48.81,0.09,0.1,398.18,0.08,398.34,398.02,-0.02,-0.0001
2023-06-02 14:53:05,398.09,398.105,397.97,397.97,6830474.0,398.17,0.2,0.17,-0.042698548249353596,46.07,0.07,0.1,398.16,0.09,398.34,397.98,-0.09,-0.0002
2023-06-02 14:53:10,397.99,398.03,397.97,397.98,6228730.0,398.15,0.17,0.01,0.0025127522174983596,46.67,0.05,0.09,398.15,0.09,398.33,397.97,-0.16,-0.0004
2023-06-02 14:53:15,397.98,398.09,397.98,398.08,5426012.0,398.15,0.07,0.1,0.025126890798521373,47.83,0.04,0.08,398.14,0.09,398.32,397.96,-0.08,-0.0002
2023-06-02 14:53:20,398.08,398.13,398.03,398.13,3416571.0,398.14,0.01,0.05,0.012560289389074164,48.39,0.04,0.07,398.14,0.09,398.32,397.96,-0.14,-0.0004
2023-06-02 14:53:25,398.13,398.13,398.06,398.07,4026152.0,398.13,0.06,0.06,-0.015070454374199738,50.56,0.03,0.06,398.14,0.09,398.32,397.96,-0.14,-0.0004
2023-06-02 14:53:30,398.07,398.17,398.07,398.17,4630578.0,398.14,0.03,0.1,0.025121209837464242,51.65,0.04,0.06,398.14,0.09,398.32,397.96,-0.07,-0.0002
2023-06-02 14:53:35,398.17,398.18,398.1,398.17,4630988.0,398.14,0.03,0.0,0.0,50.56,0.04,0.05,398.14,0.09,398.32,397.96,-0.12,-0.0003
2023-06-02 14:53:40,398.17,398.17,398.05,398.11,6443365.0,398.14,0.03,0.06,-0.015068940402340747,40.48,0.03,0.05,398.15,0.09,398.33,397.97,-0.13,-0.0003
2023-06-02 14:53:45,398.11,398.16,398.105,398.11,6041031.0,398.15,0.04,0.0,0.0,43.59,0.03,0.05,398.15,0.09,398.33,397.97,-0.1,-0.0003
2023-06-02 14:53:50,398.11,398.11,398.0,398.05,6444191.0,398.14,0.09,0.06,-0.015071211474215751,38.27,0.02,0.04,398.14,0.09,398.32,397.96,-0.09,-0.0002
2023-06-02 14:53:55,398.05,398.24,397.9,398.24,7457502.0,398.15,0.09,0.19,0.04773269689737347,47.37,0.03,0.04,398.15,0.09,398.33,397.97,0.27,0.0007
2023-06-02 14:54:00,398.24,398.3,398.13,398.24,6450180.0,398.16,0.08,0.0,0.0,50.0,0.04,0.04,398.15,0.09,398.33,397.97,0.26,0.0007
2023-06-02 14:54:05,398.24,398.24,398.18,398.2,6450767.0,398.16,0.04,0.04,-0.010044194455605115,49.45,0.04,0.04,398.16,0.09,398.34,397.98,0.12,0.0003
2023-06-02 14:54:10,398.2,398.21,398.18,398.2,5846574.0,398.16,0.04,0.0,0.0,53.57,0.04,0.04,398.15,0.09,398.33,397.97,0.07,0.0002
2023-06-02 14:54:15,398.2,398.25,398.2,398.25,6250411.0,398.16,0.09,0.05,0.012556504269212176,69.44,0.04,0.04,398.15,0.09,398.33,397.97,0.18,0.0005
2023-06-02 14:54:20,398.26,398.27,398.26,398.27,4032820.0,398.16,0.11,0.02,0.005021971123664315,69.86,0.05,0.04,398.16,0.09,398.34,397.98,0.1,0.0003
2023-06-02 14:54:25,398.28,398.48,398.28,398.41,6264298.0,398.17,0.24,0.14,0.03515203254074173,71.43,0.06,0.05,398.16,0.1,398.36,397.96,0.24,0.0006
2023-06-02 14:54:30,398.41,398.48,398.38,398.43,6467831.0,398.18,0.25,0.02,0.005019954318408182,70.27,0.07,0.05,398.17,0.12,398.41,397.93,0.32,0.0008
2023-06-02 14:54:35,398.38,398.435,398.21,398.23,6872406.0,398.18,0.05,0.2,-0.05019702331651166,59.09,0.07,0.05,398.17,0.12,398.41,397.93,0.12,0.0003
2023-06-02 14:54:40,398.23,398.23,398.08,398.11,6873008.0,398.17,0.06,0.12,-0.030133340029636635,46.67,0.05,0.05,398.17,0.12,398.41,397.93,0.06,0.0002
